acsf_model(name='t8',
           num_molecules=100000,
           acsf_Gs=acsf_Gs(G2_params=[(0.4, 0.2), (0.6, 0.2)],
                           G4_params=[(0.4, 2, 1), (0.6, 2, 1), (0.6, 2, -1)],
                           Rc=5.0),
           paths=paths(data_path='data/t3.pkl',
                       model_path='results/t8',
                       plot_path='plots/t8',
                       linear_model='results/t8_linear'),
           results=results(avg_dif=0, mae=0, max_d=0),
           nn_props=nn_props(nodes=[64, 64, 32, 1],
                             batch_size=32,
                             epochs=400,
                             learning_rate=0.001))
found data at data/t3.pkl
Number of Molecules: 100000
[ -66.0504004  -142.3658914  -105.26806568 -102.4880772   -89.20219527]

minimize 2...

RMSE of least squares fitting: 25.825673516203075
MAE of least squares fitting : 20.38333947438163
starting training...
Epoch,	Training E,	 Validation E	 MAE	 Max E	 Estimated Time Left
26,	 1.162938e+02,	 1.112414e+02	 7.261225e+00	 5.837579e+01	 34.41 Hours
27,	 1.133303e+02,	 1.106031e+02	 7.202070e+00	 5.727594e+01	 34.30 Hours
28,	 1.109596e+02,	 1.054278e+02	 7.048664e+00	 5.494092e+01	 34.20 Hours
29,	 1.081949e+02,	 1.031530e+02	 7.006074e+00	 5.251794e+01	 34.10 Hours
30,	 1.054735e+02,	 1.009881e+02	 6.929596e+00	 5.176025e+01	 34.00 Hours
31,	 1.034611e+02,	 9.888109e+01	 6.896957e+00	 4.998108e+01	 33.90 Hours
32,	 1.011156e+02,	 9.860558e+01	 6.926323e+00	 4.883484e+01	 33.80 Hours
33,	 9.953517e+01,	 9.810302e+01	 6.905418e+00	 4.935767e+01	 33.70 Hours
34,	 9.747771e+01,	 9.650466e+01	 6.874719e+00	 4.910474e+01	 33.61 Hours
35,	 9.573780e+01,	 9.734350e+01	 6.957892e+00	 4.691486e+01	 33.51 Hours
36,	 9.417273e+01,	 9.464743e+01	 6.843466e+00	 4.512280e+01	 33.41 Hours
37,	 9.272820e+01,	 9.190318e+01	 6.732449e+00	 4.330029e+01	 33.31 Hours
38,	 9.128659e+01,	 9.263086e+01	 6.781266e+00	 4.077783e+01	 33.22 Hours
39,	 8.960226e+01,	 9.236584e+01	 6.803802e+00	 4.082654e+01	 33.12 Hours
40,	 8.859580e+01,	 9.542560e+01	 6.935469e+00	 4.320508e+01	 33.03 Hours
41,	 8.732770e+01,	 8.854425e+01	 6.630937e+00	 3.914844e+01	 32.93 Hours
42,	 8.629160e+01,	 9.030376e+01	 6.741196e+00	 4.116797e+01	 32.84 Hours
43,	 8.522309e+01,	 8.605245e+01	 6.596550e+00	 4.118042e+01	 32.74 Hours
44,	 8.433247e+01,	 8.596905e+01	 6.599005e+00	 4.268408e+01	 32.65 Hours
45,	 8.369001e+01,	 8.718141e+01	 6.672307e+00	 4.057507e+01	 32.56 Hours
46,	 8.290352e+01,	 8.134895e+01	 6.381689e+00	 4.284009e+01	 32.46 Hours
47,	 8.196512e+01,	 8.201094e+01	 6.448624e+00	 4.119543e+01	 32.37 Hours
48,	 8.132120e+01,	 8.197050e+01	 6.445100e+00	 4.258545e+01	 32.28 Hours
49,	 8.041713e+01,	 7.816266e+01	 6.264523e+00	 3.919946e+01	 32.19 Hours
50,	 7.953691e+01,	 7.792308e+01	 6.281302e+00	 4.173450e+01	 32.10 Hours
51,	 7.883136e+01,	 7.784854e+01	 6.284558e+00	 4.217480e+01	 32.00 Hours
52,	 7.803803e+01,	 7.851196e+01	 6.364726e+00	 4.207324e+01	 31.91 Hours
53,	 7.743737e+01,	 7.702334e+01	 6.254128e+00	 4.030701e+01	 31.82 Hours
54,	 7.659790e+01,	 7.656741e+01	 6.247587e+00	 4.174829e+01	 31.73 Hours
55,	 7.589667e+01,	 7.280376e+01	 6.050825e+00	 3.993250e+01	 31.63 Hours
56,	 7.524120e+01,	 7.414586e+01	 6.093360e+00	 4.355408e+01	 31.54 Hours
57,	 7.442911e+01,	 7.472478e+01	 6.118494e+00	 4.062122e+01	 31.45 Hours
58,	 7.356305e+01,	 7.584440e+01	 6.235364e+00	 4.221509e+01	 31.36 Hours
59,	 7.277630e+01,	 7.505208e+01	 6.189488e+00	 4.384277e+01	 31.27 Hours
60,	 7.236332e+01,	 7.438659e+01	 6.210213e+00	 4.330847e+01	 31.17 Hours
61,	 7.156613e+01,	 7.415670e+01	 6.202841e+00	 4.268665e+01	 31.08 Hours
62,	 7.105201e+01,	 7.327219e+01	 6.186077e+00	 4.051050e+01	 30.99 Hours
63,	 7.051989e+01,	 7.681065e+01	 6.353683e+00	 4.336890e+01	 30.90 Hours
64,	 7.000507e+01,	 7.429994e+01	 6.194499e+00	 4.257886e+01	 30.80 Hours
65,	 6.928879e+01,	 7.643056e+01	 6.378018e+00	 4.335474e+01	 30.71 Hours
66,	 6.885532e+01,	 7.543793e+01	 6.352021e+00	 4.367053e+01	 30.62 Hours
67,	 6.831943e+01,	 7.499818e+01	 6.346767e+00	 4.278284e+01	 30.53 Hours
68,	 6.771047e+01,	 7.416433e+01	 6.261339e+00	 4.256470e+01	 30.44 Hours
69,	 6.735431e+01,	 7.353465e+01	 6.241678e+00	 4.243042e+01	 30.35 Hours
70,	 6.709127e+01,	 7.267335e+01	 6.184496e+00	 4.012439e+01	 30.26 Hours
71,	 6.647726e+01,	 7.259310e+01	 6.172409e+00	 4.066418e+01	 30.16 Hours
72,	 6.595999e+01,	 7.162501e+01	 6.154135e+00	 4.083252e+01	 30.07 Hours
73,	 6.551056e+01,	 7.089006e+01	 6.157044e+00	 3.990918e+01	 29.98 Hours
74,	 6.520202e+01,	 6.810594e+01	 5.958740e+00	 3.886768e+01	 29.89 Hours
75,	 6.486811e+01,	 7.004713e+01	 6.065519e+00	 4.038599e+01	 29.80 Hours
76,	 6.432337e+01,	 6.819083e+01	 5.982563e+00	 3.952441e+01	 29.70 Hours
77,	 6.392991e+01,	 6.957946e+01	 6.127494e+00	 3.981250e+01	 29.61 Hours
78,	 6.380335e+01,	 6.919716e+01	 6.086099e+00	 4.016150e+01	 29.52 Hours
79,	 6.338278e+01,	 6.856152e+01	 6.029961e+00	 3.766443e+01	 29.42 Hours
80,	 6.274092e+01,	 6.893922e+01	 6.100078e+00	 3.936865e+01	 29.33 Hours
81,	 6.237442e+01,	 6.857209e+01	 6.071101e+00	 3.954724e+01	 29.24 Hours
82,	 6.220629e+01,	 6.989236e+01	 6.122207e+00	 4.117395e+01	 29.15 Hours
83,	 6.171405e+01,	 6.711901e+01	 5.944566e+00	 3.988965e+01	 29.05 Hours
84,	 6.116397e+01,	 6.926164e+01	 6.107520e+00	 3.992432e+01	 28.96 Hours
85,	 6.104514e+01,	 6.841440e+01	 6.059864e+00	 4.059790e+01	 28.87 Hours
86,	 6.061906e+01,	 6.551191e+01	 5.866764e+00	 3.971777e+01	 28.78 Hours
87,	 6.023687e+01,	 6.382276e+01	 5.777397e+00	 3.888452e+01	 28.68 Hours
88,	 6.002077e+01,	 6.308365e+01	 5.743259e+00	 3.859656e+01	 28.59 Hours
89,	 5.984341e+01,	 6.041875e+01	 5.551822e+00	 3.713965e+01	 28.50 Hours
90,	 5.939308e+01,	 6.303799e+01	 5.734619e+00	 3.789685e+01	 28.41 Hours
91,	 5.905939e+01,	 6.301706e+01	 5.770182e+00	 3.711377e+01	 28.31 Hours
92,	 5.858215e+01,	 6.158170e+01	 5.669718e+00	 3.779321e+01	 28.22 Hours
93,	 5.829026e+01,	 6.218586e+01	 5.746245e+00	 3.866699e+01	 28.13 Hours
94,	 5.811009e+01,	 6.042862e+01	 5.627276e+00	 3.787695e+01	 28.04 Hours
95,	 5.781906e+01,	 6.107167e+01	 5.684697e+00	 4.066687e+01	 27.95 Hours
96,	 5.758970e+01,	 6.280734e+01	 5.786744e+00	 3.764966e+01	 27.85 Hours
97,	 5.710999e+01,	 6.342281e+01	 5.863368e+00	 3.829956e+01	 27.76 Hours
98,	 5.713351e+01,	 6.282653e+01	 5.864695e+00	 3.655847e+01	 27.67 Hours
99,	 5.675791e+01,	 6.294387e+01	 5.830199e+00	 4.125110e+01	 27.58 Hours
100,	 5.682556e+01,	 5.863261e+01	 5.564401e+00	 3.901917e+01	 27.48 Hours
101,	 5.621688e+01,	 6.048529e+01	 5.647205e+00	 4.248901e+01	 27.39 Hours
102,	 5.609256e+01,	 5.766080e+01	 5.498333e+00	 3.666040e+01	 27.30 Hours
103,	 5.570188e+01,	 5.958685e+01	 5.659711e+00	 3.545435e+01	 27.21 Hours
104,	 5.556444e+01,	 6.023887e+01	 5.691652e+00	 3.831958e+01	 27.12 Hours
105,	 5.526216e+01,	 6.285187e+01	 5.865548e+00	 3.874670e+01	 27.02 Hours
106,	 5.492475e+01,	 5.758103e+01	 5.502973e+00	 3.714929e+01	 26.93 Hours
107,	 5.489935e+01,	 6.033289e+01	 5.689755e+00	 3.685425e+01	 26.84 Hours
108,	 5.444608e+01,	 5.808202e+01	 5.534512e+00	 4.178638e+01	 26.75 Hours
109,	 5.445251e+01,	 5.483089e+01	 5.362582e+00	 3.627893e+01	 26.65 Hours
110,	 5.421622e+01,	 5.911589e+01	 5.621306e+00	 3.735034e+01	 26.56 Hours
111,	 5.395625e+01,	 5.643122e+01	 5.482131e+00	 3.812512e+01	 26.47 Hours
112,	 5.365292e+01,	 5.767152e+01	 5.580164e+00	 3.931519e+01	 26.38 Hours
113,	 5.365037e+01,	 5.554358e+01	 5.438173e+00	 4.011560e+01	 26.29 Hours
114,	 5.337368e+01,	 5.848950e+01	 5.662415e+00	 4.013147e+01	 26.19 Hours
115,	 5.316841e+01,	 5.534826e+01	 5.393937e+00	 3.802625e+01	 26.10 Hours
116,	 5.307255e+01,	 5.782790e+01	 5.587433e+00	 4.025562e+01	 26.01 Hours
117,	 5.274382e+01,	 5.544870e+01	 5.454516e+00	 3.819104e+01	 25.92 Hours
118,	 5.259158e+01,	 5.502179e+01	 5.375968e+00	 3.962036e+01	 25.83 Hours
119,	 5.229194e+01,	 5.525299e+01	 5.431296e+00	 4.188293e+01	 25.73 Hours
120,	 5.193691e+01,	 5.520429e+01	 5.458957e+00	 3.862317e+01	 25.64 Hours
121,	 5.214055e+01,	 5.350675e+01	 5.300832e+00	 3.622095e+01	 25.55 Hours
122,	 5.168329e+01,	 5.412191e+01	 5.368851e+00	 3.999878e+01	 25.46 Hours
123,	 5.137477e+01,	 5.615524e+01	 5.519091e+00	 4.098083e+01	 25.37 Hours
124,	 5.117616e+01,	 5.499714e+01	 5.413393e+00	 3.847571e+01	 25.28 Hours
125,	 5.129125e+01,	 5.154111e+01	 5.178234e+00	 3.974573e+01	 25.18 Hours
126,	 5.094964e+01,	 5.273096e+01	 5.249935e+00	 3.476123e+01	 25.09 Hours
127,	 5.074842e+01,	 5.291628e+01	 5.322869e+00	 3.252222e+01	 25.00 Hours
128,	 5.047697e+01,	 5.008472e+01	 5.097798e+00	 3.361487e+01	 24.91 Hours
129,	 5.024888e+01,	 4.921732e+01	 5.044003e+00	 3.409521e+01	 24.82 Hours
130,	 5.006807e+01,	 5.039944e+01	 5.162916e+00	 3.376831e+01	 24.72 Hours
131,	 5.005352e+01,	 4.844486e+01	 4.974464e+00	 3.388867e+01	 24.63 Hours
132,	 4.979168e+01,	 4.900925e+01	 5.033038e+00	 3.438806e+01	 24.54 Hours
133,	 4.970431e+01,	 5.040099e+01	 5.154367e+00	 3.446436e+01	 24.45 Hours
134,	 4.961090e+01,	 4.949833e+01	 5.095347e+00	 3.391150e+01	 24.36 Hours
135,	 4.929991e+01,	 5.042204e+01	 5.154408e+00	 3.493140e+01	 24.25 Hours
136,	 4.891084e+01,	 4.901917e+01	 5.080644e+00	 3.381384e+01	 24.15 Hours
137,	 4.888364e+01,	 4.994175e+01	 5.133359e+00	 3.412109e+01	 24.04 Hours
138,	 4.849428e+01,	 5.089388e+01	 5.220165e+00	 3.389392e+01	 23.93 Hours
139,	 4.855431e+01,	 4.797248e+01	 4.983990e+00	 3.456458e+01	 23.82 Hours
140,	 4.824696e+01,	 4.914973e+01	 5.043387e+00	 3.380969e+01	 23.71 Hours
141,	 4.815819e+01,	 4.748296e+01	 4.990501e+00	 3.450391e+01	 23.60 Hours
142,	 4.800873e+01,	 4.811740e+01	 4.983771e+00	 3.440002e+01	 23.50 Hours
143,	 4.780188e+01,	 4.810088e+01	 4.992044e+00	 3.471387e+01	 23.39 Hours
144,	 4.758635e+01,	 4.668297e+01	 4.907852e+00	 3.382239e+01	 23.28 Hours
145,	 4.798198e+01,	 4.884098e+01	 5.055831e+00	 3.859912e+01	 23.18 Hours
146,	 4.735214e+01,	 4.693979e+01	 4.952650e+00	 3.467017e+01	 23.07 Hours
147,	 4.719686e+01,	 4.593504e+01	 4.882224e+00	 3.360352e+01	 22.97 Hours
148,	 4.692905e+01,	 4.580025e+01	 4.866231e+00	 3.288428e+01	 22.86 Hours
149,	 4.690969e+01,	 4.668551e+01	 4.908462e+00	 3.530811e+01	 22.76 Hours
150,	 4.676859e+01,	 4.565674e+01	 4.870764e+00	 3.428870e+01	 22.65 Hours
151,	 4.660993e+01,	 4.576292e+01	 4.893868e+00	 3.571057e+01	 22.55 Hours
152,	 4.653673e+01,	 4.468644e+01	 4.808628e+00	 3.434509e+01	 22.44 Hours
153,	 4.631149e+01,	 4.687736e+01	 4.971311e+00	 3.512744e+01	 22.34 Hours
154,	 4.601689e+01,	 4.421368e+01	 4.751569e+00	 3.379761e+01	 22.24 Hours
155,	 4.604913e+01,	 4.471405e+01	 4.784955e+00	 3.596240e+01	 22.13 Hours
156,	 4.577813e+01,	 4.688601e+01	 4.950615e+00	 3.721912e+01	 22.03 Hours
157,	 4.560457e+01,	 4.439788e+01	 4.794390e+00	 3.496350e+01	 21.93 Hours
158,	 4.573290e+01,	 4.231375e+01	 4.633597e+00	 3.439856e+01	 21.83 Hours
159,	 4.537817e+01,	 4.238165e+01	 4.631008e+00	 3.514453e+01	 21.72 Hours
160,	 4.505838e+01,	 4.231745e+01	 4.649906e+00	 3.565295e+01	 21.62 Hours
161,	 4.498338e+01,	 4.155325e+01	 4.598242e+00	 3.464844e+01	 21.52 Hours
162,	 4.505426e+01,	 4.214011e+01	 4.660328e+00	 3.339404e+01	 21.42 Hours
163,	 4.462606e+01,	 4.341098e+01	 4.709407e+00	 3.477515e+01	 21.32 Hours
164,	 4.470020e+01,	 4.467503e+01	 4.808970e+00	 3.397021e+01	 21.22 Hours
165,	 4.461130e+01,	 4.351418e+01	 4.735674e+00	 3.610999e+01	 21.12 Hours
166,	 4.449417e+01,	 4.333465e+01	 4.728201e+00	 3.312366e+01	 21.02 Hours
167,	 4.437826e+01,	 4.372964e+01	 4.783629e+00	 3.665466e+01	 20.92 Hours
168,	 4.388627e+01,	 4.344329e+01	 4.765554e+00	 3.575513e+01	 20.82 Hours
169,	 4.417013e+01,	 4.449164e+01	 4.793462e+00	 3.840222e+01	 20.73 Hours
170,	 4.352318e+01,	 4.450238e+01	 4.842611e+00	 3.759814e+01	 20.63 Hours
171,	 4.374973e+01,	 4.148037e+01	 4.626276e+00	 3.563184e+01	 20.54 Hours
172,	 4.360387e+01,	 4.263544e+01	 4.698302e+00	 4.058862e+01	 20.44 Hours
173,	 4.353285e+01,	 4.472299e+01	 4.871304e+00	 3.541858e+01	 20.34 Hours
174,	 4.328436e+01,	 4.041537e+01	 4.537031e+00	 3.620129e+01	 20.24 Hours
175,	 4.312404e+01,	 4.260557e+01	 4.711603e+00	 3.655139e+01	 20.14 Hours
176,	 4.291069e+01,	 4.268015e+01	 4.719695e+00	 3.912073e+01	 20.05 Hours
177,	 4.287620e+01,	 4.344276e+01	 4.778819e+00	 3.559253e+01	 19.96 Hours
178,	 4.265021e+01,	 4.418815e+01	 4.822293e+00	 3.544141e+01	 19.87 Hours
179,	 4.272765e+01,	 4.519759e+01	 4.955085e+00	 3.722668e+01	 19.79 Hours
180,	 4.271010e+01,	 4.358281e+01	 4.836175e+00	 3.906287e+01	 19.70 Hours
181,	 4.247155e+01,	 4.127387e+01	 4.591760e+00	 3.322119e+01	 19.61 Hours
182,	 4.245405e+01,	 4.437682e+01	 4.854220e+00	 3.663342e+01	 19.52 Hours
183,	 4.239468e+01,	 4.261086e+01	 4.738851e+00	 3.738940e+01	 19.43 Hours
184,	 4.221481e+01,	 4.259010e+01	 4.768889e+00	 3.772766e+01	 19.35 Hours
185,	 4.211770e+01,	 4.497551e+01	 4.915403e+00	 3.558337e+01	 19.26 Hours
186,	 4.192281e+01,	 4.575156e+01	 4.973919e+00	 3.670862e+01	 19.18 Hours
187,	 4.184731e+01,	 4.495745e+01	 4.966873e+00	 3.652173e+01	 19.08 Hours
188,	 4.195489e+01,	 4.458766e+01	 4.941656e+00	 3.771802e+01	 18.98 Hours
189,	 4.166798e+01,	 4.099976e+01	 4.622456e+00	 3.613416e+01	 18.88 Hours
190,	 4.162233e+01,	 4.420340e+01	 4.919491e+00	 3.745752e+01	 18.79 Hours
191,	 4.140966e+01,	 4.216043e+01	 4.720414e+00	 3.766748e+01	 18.69 Hours
192,	 4.106184e+01,	 4.680821e+01	 5.013578e+00	 3.476770e+01	 18.59 Hours
193,	 4.130218e+01,	 4.257530e+01	 4.721707e+00	 3.423730e+01	 18.49 Hours
194,	 4.087356e+01,	 4.476704e+01	 4.821574e+00	 3.519995e+01	 18.40 Hours
195,	 4.096587e+01,	 4.053930e+01	 4.619966e+00	 3.626074e+01	 18.30 Hours
196,	 4.069471e+01,	 4.358318e+01	 4.831880e+00	 3.565308e+01	 18.21 Hours
197,	 4.084188e+01,	 4.148082e+01	 4.665791e+00	 3.571643e+01	 18.11 Hours
198,	 4.072542e+01,	 4.311669e+01	 4.854317e+00	 3.637561e+01	 18.01 Hours
199,	 4.056091e+01,	 4.317586e+01	 4.804239e+00	 3.562878e+01	 17.92 Hours
200,	 4.057573e+01,	 4.297107e+01	 4.801606e+00	 3.637305e+01	 17.82 Hours
201,	 4.033966e+01,	 4.129778e+01	 4.652396e+00	 3.642249e+01	 17.73 Hours
202,	 4.069269e+01,	 4.466013e+01	 4.969204e+00	 3.865894e+01	 17.63 Hours
203,	 4.012147e+01,	 4.092817e+01	 4.640491e+00	 3.825537e+01	 17.53 Hours
204,	 4.015558e+01,	 4.225175e+01	 4.779182e+00	 3.757532e+01	 17.44 Hours
205,	 4.025294e+01,	 3.961138e+01	 4.552909e+00	 3.606628e+01	 17.35 Hours
206,	 3.991364e+01,	 4.255956e+01	 4.819701e+00	 3.772839e+01	 17.25 Hours
207,	 3.985457e+01,	 4.351034e+01	 4.883316e+00	 3.713367e+01	 17.16 Hours
208,	 3.963992e+01,	 4.455403e+01	 4.917382e+00	 3.499634e+01	 17.07 Hours
209,	 3.972979e+01,	 4.068056e+01	 4.652355e+00	 3.541357e+01	 16.97 Hours
210,	 3.965826e+01,	 4.120918e+01	 4.728548e+00	 3.925366e+01	 16.88 Hours
211,	 3.957452e+01,	 4.280244e+01	 4.795126e+00	 3.712793e+01	 16.79 Hours
212,	 3.960325e+01,	 4.200045e+01	 4.741588e+00	 3.655200e+01	 16.69 Hours
213,	 3.934212e+01,	 4.241520e+01	 4.705711e+00	 3.504114e+01	 16.60 Hours
214,	 3.918581e+01,	 4.188602e+01	 4.716996e+00	 3.599304e+01	 16.50 Hours
215,	 3.897915e+01,	 4.110038e+01	 4.713371e+00	 3.797559e+01	 16.41 Hours
216,	 3.926470e+01,	 4.213716e+01	 4.730337e+00	 3.528162e+01	 16.32 Hours
217,	 3.906731e+01,	 4.220402e+01	 4.782028e+00	 3.809070e+01	 16.23 Hours
218,	 3.917096e+01,	 3.838664e+01	 4.495648e+00	 3.534167e+01	 16.13 Hours
219,	 3.879123e+01,	 3.963541e+01	 4.538498e+00	 3.718665e+01	 16.04 Hours
220,	 3.871451e+01,	 4.059822e+01	 4.650604e+00	 3.624622e+01	 15.95 Hours
221,	 3.873503e+01,	 4.036991e+01	 4.601000e+00	 3.472754e+01	 15.86 Hours
222,	 3.873395e+01,	 4.429677e+01	 4.953237e+00	 3.648376e+01	 15.77 Hours
223,	 3.865715e+01,	 3.784211e+01	 4.430735e+00	 3.642004e+01	 15.68 Hours
224,	 3.872379e+01,	 3.875357e+01	 4.519763e+00	 3.687439e+01	 15.58 Hours
225,	 3.842374e+01,	 3.796664e+01	 4.461678e+00	 3.625049e+01	 15.49 Hours
226,	 3.840870e+01,	 3.851750e+01	 4.531306e+00	 3.673242e+01	 15.40 Hours
227,	 3.812052e+01,	 3.867297e+01	 4.521740e+00	 3.687769e+01	 15.31 Hours
228,	 3.801881e+01,	 3.917624e+01	 4.546201e+00	 3.671216e+01	 15.21 Hours
229,	 3.845967e+01,	 3.805539e+01	 4.445863e+00	 3.741638e+01	 15.12 Hours
230,	 3.821885e+01,	 3.837809e+01	 4.500702e+00	 3.691650e+01	 15.03 Hours
231,	 3.803584e+01,	 4.055444e+01	 4.719046e+00	 3.848267e+01	 14.94 Hours
232,	 3.808934e+01,	 4.087357e+01	 4.688157e+00	 3.838965e+01	 14.85 Hours
233,	 3.807734e+01,	 3.632755e+01	 4.318321e+00	 3.744666e+01	 14.75 Hours
234,	 3.766952e+01,	 3.921124e+01	 4.576514e+00	 3.504808e+01	 14.66 Hours
